,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Total
,Number ,,,,,,,,
Indigenous,345378.00,54924.00,287916.00,103227.00,46020.00,9488.00,20159.00,35829.00,902941.00
Non-Indigenous,2654414.00,1865429.00,1769486.00,809996.00,548699.00,131413.00,292319.00,43899.00,8115655.00
Not stated,53182.00,321127.00,6900.00,4857.00,90727.00,6961.00,6720.00,306.00,490780.00
Total,3052974.00,2241480.00,2064302.00,918080.00,685446.00,147862.00,319198.00,80034.00,9509376.00
,"Number per 1,000 population(c)(d)",,,,,,,,
Indigenous,1385.00,1017.90,1302.80,1021.50,1041.20,360.40,2687.50,451.60,1150.60
Non-Indigenous,357.70,299.30,388.10,333.40,339.10,280.30,728.20,261.40,348.30
Rate ratio(e),3.90,3.40,3.40,3.10,3.10,1.30,3.70,1.70,3.30
Rate difference(f),1027.20,718.60,914.70,688.10,702.10,80.10,1959.20,190.10,802.30
Total,397.90,314.50,432.70,363.20,406.20,292.20,774.50,313.70,383.60
